[ RigidInstance : 1 ]
 { GUID:s              Name:s     AnimationResource:s GeometryResource:s           Pos:fff                                 Ambient:dddd Orient:fff                       Scale:fff                  BBox:ffffff                                                                     HasLOD:d IsLadder:d IsVine:d IsHoistable:d IsLeafPile:d IsAnimating:d IsMovingPlatform:d IsAutoEdgeGrabbable:d DoesNotCollide:d DoesFloat:d FloatYTweak:f LightingType:d AnimSpeed_:f AnimOffset_:f LoopDelay:f Looping:d Interpolate:d Destructible:d DestructibleByNPC:d DestructibleByBilbo:d IsPlant:d PainOnDestroy:d HasPrivData:d HasSurfaceFlags:d DoesCameraColl:d DoesCameraFade:d LightChannels:d ObjectFlags:d ScriptResource:s InitialPos:fff             Orientation:fff                  LocalBoundingBox:ffffff                                              ObjSaveFlag:d ObjName:s  IsGoldPile:d IsHidden:d Decals:d IsSqueakyChickenBoard:d 'Surface Type:s' }
   "0D8ADACC_B8F26401" "RockD"    ""                  "inst_trollhole_rockd.rgeom" -4410.454102 -1687.088867 -11820.938477 0 0 0 255    -14.399976 -143.549988 53.100002 0.932110 0.932110 0.932110 -4569.491699 -1839.233643 -11975.595703 -4252.544922 -1535.064453 -11662.708008 0        0          0        0             0            1             0                  0                     0                0           0.000000      0              1.000000     0.000000      0.000000    0         1             0              0                   0                     0         0               1             0                 0                1                1               14760         ""               0.000000 0.000000 0.000000 -14.399976 -143.549988 53.100002 -159.037598 -152.144775 -154.657227 157.909180 152.024414 158.230469 0             "RockD"    0            0          1        0                       "NONE"           
[ VertColors : 130 ]
 { Color:dddd   }
   48 92 133 0  
   73 144 207 0 
   63 116 168 0 
   33 57 83 0   
   82 161 231 0 
   80 156 225 0 
   71 132 192 0 
   48 78 116 0  
   21 22 35 0   
   66 130 187 0 
   63 121 175 0 
   76 148 213 0 
   76 150 215 0 
   58 110 159 0 
   70 134 193 0 
   34 53 82 0   
   36 49 78 0   
   60 110 162 0 
   50 93 136 0  
   35 37 62 0   
   57 95 141 0  
   26 28 45 0   
   27 29 46 0   
   25 27 44 0   
   28 29 48 0   
   0 0 0 0      
   0 0 0 0      
   0 0 0 0      
   0 0 0 0      
   0 0 0 0      
   0 0 0 0      
   0 0 0 0      
   0 0 0 0      
   0 0 0 0      
   20 22 35 0   
   13 14 23 0   
   0 0 0 0      
   7 7 12 0     
   3 4 7 0      
   0 0 0 0      
   1 1 2 0      
   1 1 3 0      
   1 1 2 0      
   1 2 3 0      
   0 0 0 0      
   0 0 0 0      
   0 0 0 0      
   0 0 0 0      
   0 0 0 0      
   0 0 0 0      
   48 92 133 0  
   33 57 83 0   
   6 6 10 0     
   28 54 78 0   
   21 22 35 0   
   16 17 26 0   
   12 12 20 0   
   1 1 1 0      
   0 0 0 0      
   26 28 45 0   
   26 27 44 0   
   24 25 41 0   
   27 29 46 0   
   27 28 46 0   
   24 25 41 0   
   19 20 31 0   
   26 28 45 0   
   5 6 9 0      
   0 0 0 0      
   0 0 0 0      
   28 30 49 0   
   26 27 44 0   
   34 36 61 0   
   30 32 53 0   
   30 32 52 0   
   27 28 46 0   
   14 15 26 0   
   27 29 50 0   
   7 8 14 0     
   18 19 34 0   
   1 1 2 0      
   1 2 3 0      
   5 5 10 0     
   0 0 1 0      
   3 4 7 0      
   20 21 36 0   
   20 22 35 0   
   26 28 45 0   
   29 31 51 0   
   13 14 23 0   
   25 45 67 0   
   14 15 26 0   
   41 78 113 0  
   2 4 6 0      
   1 1 3 0      
   7 8 14 0     
   56 110 158 0 
   47 90 130 0  
   34 66 95 0   
   19 38 55 0   
   0 0 0 0      
   0 0 0 0      
   0 0 0 0      
   3 6 8 0      
   0 0 0 0      
   0 0 0 0      
   1 1 2 0      
   0 0 1 0      
   0 0 0 0      
   1 1 3 0      
   66 130 187 0 
   76 150 215 0 
   64 126 181 0 
   56 110 158 0 
   82 161 231 0 
   67 131 188 0 
   24 48 70 0   
   36 71 101 0  
   34 66 95 0   
   48 92 133 0  
   28 54 78 0   
   56 110 158 0 
   73 144 207 0 
   0 0 0 0      
   6 12 18 0    
   0 0 0 0      
   0 0 0 0      
   0 0 0 0      
   3 6 8 0      
   1 3 5 0      
